1792000	13259,13390,20979,29203,20630,23351,20154,6203,28319
6400000	15672,2452
5279750	2368,28065,27435
725000	2257,1831,25372,20425
9123500	15138,14694,12168,3433,20846,6447,21459,15
3903500	13888,9633,15138,17647,1392,24274,27609,9563,28605
1140750	23475,7868
5034000	10584,7465,12220
8792750	14416,12606
8628250	26288,28481,20979,10879
6996000	18213
2688750	155,3774
1118250	14794,3068,2589
5011500	7059,28098,643,22280,28937,6219,27407,29203,22489,23779,27092,21847,11196,20180,2043,1756
981000	14020,4997,11176,14153,12394,26608,8689,2898,4949,8662,27160,29022
7016500	27407
3795000	12352
1528500	23013,23774
317500	7868,22029
8573000	28049,6158
9394250	29203,25372,19014
10578000	13240,20896,13778,28992,422
3719250	4960
2492500	11124,20979,24340,15661,19005
9076750	5712,14930,4731,25372
1063000	16376,28481,15019,14165,22749
3014750	2353,18558
3114000	13112,20536,21092,23928,21110
10598500	12220,14165,18575
3846250	15584,11882,11679,23143
7483500	18196
1904750	23928,25888,9138,22484,26860
8102000	768
6257000	23563
3035250	11080,993,22400,11196,14020
7184500	10193,9018,7868,527
7600250	11176,3228,11052,4949
4902250	4709
11397250	23541
969750	2963
9179500	11196,17835,12220
3215500	10914
6852750	7208,27906,4949
10234000	10176,19402,15019,28653,9111,10970,26011
2704750	3658
4047000	7105,29446
12142750	2375
7588000	7105,28653,10329
1966250	26722,11052,25260,16110,2257,155,3228
10297000	25058
8163500	14593,23115,5740,15022,26959,18868,28438,3252,22621,23103
8216750	24281,12285
2232500	679,4683,14261,28791,11000,11679
3363000	24158
4184250	3619,10788,28710,16550,11196,7728,241,4949,14020,12220,8565
12173500	9817,554,3627,15405
3266750	5416,21659,12220,16126
9720000	8816,8939,21092,13773,19894
980000	29099,3228
9394500	14533
9079500	7868,21071
2768250	19026,23421,16094,6447
7190750	1538,14526,27791
3404000	905,3627,28653,22246
6003750	7868,4949,4750,12285
2187500	12162,2963
5143250	1280,14482,9563,23549
6848750	264,12160,21336
1579250	25424,13020,4078
10443000	9192,19466,2373,27135
4256000	15661,17647
7893250	28992
5898500	374
7797000	13942
7699500	11080,22280,8719,11793,2899,23928,21672,13592
9802000	13888,5883,16540
12215000	12352,3164,6672,15639,7868,8637,14942
11391250	17417,22244,28924,27998
5865750	4171,11652,1446,9745,28616,3145,11196,24013,2872,911,3760,28177,3228,29331,28937,27544,26297,25060,1756
799000	1903
5082500	14020
3625250	21372
5726500	14020,25733
10401500	12189,22950,27791
563500	120,10778,22058
2920750	23538,15478,22359
848500	19337,14261,9838,24977
6099250	7244,13244,25372
847750	18024,28169
9437500	15718
4370750	7168,1666
9288000	11328,2683
9906500	21336,8689,26722,155,23656
2386250	7061
4850000	12512,1428,11605
11612500	5848,19974
3684750	25559
11503250	504
7367000	15584,20297,4918
10492250	7105,11080,20045,28752,4949,281,15449,7868
11579750	12688,8410,11196
5745000	11080,26722,9838,2103
1446250	20297,23482,2655,4078,21217
6619500	11465
3344750	3313,28524,8805
10566000	7868,13554,23284,28053,21110
6523250	17835
11440500	3228,14261
8324500	9848
11141500	2945
3350250	1672,19177,25420,14413,18736,3384,5779,24344,24765
12229000	17389
1530250	14120
1629250	18024,19891
5220750	25240,8689,28438,26216
6780500	10893
12239250	1121,16754,21838,14157,26288,25618,7868
10756500	14942
5248750	23623,15019,15086,7862,27035,28924
11321750	643,17060,12358,3847,21672,6348,4238,13745,9906,21684,20206,10879
10095000	14261
11225500	2655,11175
1806750	26394,21683,18558
10052000	7680,3093,22126
7545250	29099,14381
1710500	2729,1481,7868,25526,28065
10521000	15761,13779,7868
8430000	8637
3981750	1831
4256500	2410,23515,12588,4694
6957500	12606
2253250	18730
3895750	12475,12933
9069000	22393,3627,28017
11129250	11080,23214,14577,949,11065,23861
4876750	11431,12394,4080,11378,949,20536
1047000	21110
7854500	29099,4949
11340250	26973,14294,6215
832250	1831,27791
3954500	15584,931,18292,26315
4844000	11176,7868
6998500	201,3627
3723750	21672
3009000	5627,19014,12327,10604,8724,21657,22393,28347
1782250	155,24460,3237,19374
3511000	13020,29203,14020
10119250	10282,7868
10592750	23798
11158000	21930,9563,7868,239
1194750	7400,83,4059,679
8757750	20386,20785,3149,26288,6968,23928,24601
64000	2455
1909250	20516,24645,23470,504,6326,23896,25372,10014
10773000	2257,15639,2999,12977
746000	7105,155,21865
1319000	10449
1620500	444,12230,23735
5769750	26614
7103000	26722,14603,5574,16488,11465,12586,15019,23662,13737,15423
9972250	15138
5780000	7648,15811,21092,17061,262,10058,24274,19523
8702500	7105,23779,8257,29547,24780,11196
776750	16939
371250	10106,7620,21110
4059500	7868,9549,8166
5994250	18180
434750	19394
232000	12133,361,16311,21865,7868,17823
380000	12329,5620,1773,14174
9351750	11080,14580
2975500	21865,16939,15934,16406,7868,5086
10642000	20896,7105,251,8257,11465,3627,7567,2513,16754,28149,20536,7323,8637,2655
12231250	19539,12220,28149
252500	13778,6199
5735000	12168
4454500	15138,25830,15019,28653,27117,21071,2655
9628250	18024
6150750	15584,2655,14363,17429,15831
10609250	5330
2331750	7179,19539,27179,21092,28653
731750	29008,9195,7692,29163
10054250	8425,4667,19660,20297
5915250	15138,2367
1104500	2683,12220,14294,18678,21110
9716500	11465
8049000	17664,27544,20979
2138750	11029
4399750	23207
7322250	11977,23861
6564500	25092,14902,29095,11176,11612,18730,16110,12977,4949,16406,15639,21672,11196,12637
12016750	24601,18730,27371,27683
12004000	15307
1561250	13891
3257000	15534
3054250	5448,23108
10840750	13672
4035250	17647
2808500	12394,25372
5987000	2524
5264500	26083,1642,8783,17691,12220,12394,19038
2968250	11624,14273
4770500	10404,20297,2610,27625,27191,14020,12220
3031750	3228,18730,16110,12977,14261,16406,7323,28924
5751500	19680,14873,6199,11679
11625250	3740,18990
12204750	21681
5655250	11396,14469,11624,11196,4338,3702,16406,16540
3148500	12795,28561,3627,18292,16217
6412750	23632
11137750	2227,19891,22447
439000	26404,25415,9066,647,21841,16821,10714,7868,3390,12287
1110750	22499
8129250	16323
7830250	5779
5024500	13888,7105,12394,12977,17748,21110,3228
9173750	7105,19814,13020,11196,16110,16406,16540,11679
5952250	6827
11434750	20083,9985,22339,18758,7071
2378500	28243,25372,23774,2367
11957000	23907,21078
5491500	20803,1691,25989,20620,239,21110,27407
11711250	24942,6175
4852500	911
6654750	14261
7785250	11790
6867750	7552,2655
6515500	21657
1661750	1731,15534,22342,3151
9946250	3720,11688,2899
6380000	28425
39750	4896
5522250	21672
711500	26722,11052
1953250	11328,26722,3658,2257,15639,12394
7218000	12220,26619,22556,22317,11679
6247250	3686,15814,25618,22736,28626,28631,22680,16540,19615
11972750	954
3644250	8637
11121500	13049,15799,20297
9436000	504,5776,4731
11590500	2432,11578
4475750	19113,2227,11612,4949,679
1969000	12220
11494250	8676,11196
8070000	18611
3312500	19993
4133750	16463,27638,20127
4037500	14523,26614
3226500	12394,14071,18741,23863,16474,7868
11307500	20300,22359
6458250	23475
11535250	2257,16463
9586500	20073,10795,8860
5155750	12453
4547500	8257
1838000	21372
3310750	8689,23774,25086
8909750	22342
8195000	21672,1831
621500	16009,3723,29099,10102,6143
472000	23584,14647,6211,3515,25333
5901250	11073,14575
10818500	4618,5334
309750	4545,15365
887750	15019
5037000	24960,26722,679,5896,14796,27791,20625,27508,21672,7868,14590
791500	8738,23492,20297,14712,10329,16606,24831
7513250	29153,25372,4078,16463,29203,1756
8940500	11080,251,15661,2655
1971500	11000,19113,25329
5110750	25793,8414
3787750	26969,2610
2870250	7096,14020,17606
8096750	23896,16722,26485,16663
4054000	20121
6155250	4220,18180,15645,3151
6571000	12162,4254,13430,22877
10976250	22032
4782250	9658,10778,12142
5962750	5151
6272000	6080,12055,26451,20180,2803,17400
2752000	3032,3164,27906,15820,26728
5407750	6352
341000	26754,4003,17958,679,9290,26722
4195500	7737,22246
7306250	22359
1727500	4452
42000	29528,28180
7060500	8193,5285,23214,504,21975,760,3384
2200750	9315
4809750	1831
9215000	27458,18575,6352,10097,14294,28059
7476250	15019
10654750	12212
7892000	1530,15661,17647
6751750	13737,3658
8051750	26608,13737,20297
1758250	12560,4060,23676,10038,27791
4115500	6731
10312750	12352,5185,3627,16110,12016,2899,15934
7445000	18075
9651250	26754
3304500	4931,8689,17228,24461,25169,13554,3804
6694750	12352,24196,18730,3151,1461,22393,14020,25372,20127
12371000	11776,12394,2227,17514,14294
8072250	27033,19036,22
1832000	10916,19221,2198,25687,7868,12287
861250	21110
9671750	2826,29203
11730000	1446,23656,471,13390,12914,8662,24471,18523,1756,21565
7715000	24978,11790
2823250	2610
1244250	4324
1240250	18392,20297,12394,5998,23623
2940000	26722,2683,24486,24519,11080,25260,12168,14580,11767,19835,15935
5354000	20180,21078
3963750	14020,19014,11176,23662,4949,251
6683750	5267,14119,29551,24562,29203,28788,14261,15446,10169,4731
8017000	15096,23284
8123500	14931,22852,3390,1591
4336750	20846
5467250	11653
3216500	27168,28992,2963
5199750	679
154750	11196
6904000	5267
2874500	7910,7386,14914,19422
3849750	9549
1189000	15019,11679,4949,12175
6874250	15584,26754,13483,11080,12747,12016,12168,2683,16603,28410,155,20648,21503
6061250	5670,679,4169,15019,943,23829,14261,1370,4949
10212500	24081
10063000	22393
6126750	24977,25117
11300000	7552,2963
12377250	24730,19405,27191
4963500	21092,15534,18002,29203,21110,13240,22489,21565
1688750	3145,12220
7886000	1644,5267,22420,15446,4919,1428
3405000	4389
11939000	2176,23409,22317,21567
3288250	6395
2882750	4452
11896000	16564
3245250	18730
10533750	14261,17327
7703750	18075,22908,527
3149000	9817,13162,18964,25970,24977
7810250	6880
10018000	15874,5429
11131750	29472,5738,14482,10726
6849750	25372,2655
6700250	11578
8033500	2471
2198750	12220,13054,16550
1025250	13247
9782500	6352,4949
5293250	12058,12220,679
10966250	251
5440750	27210,12883,25029,19862
10261750	21657,14261
11701500	14020,18674,22052,4366
8170750	10207
1525000	2257,11196
5012750	3393,13020,5053
236000	29203
2921750	11176,20184,25272,14182,143
154500	5863,12168,3627,25424,8689,4949,21110,251,25820
11564250	3723,1831,2826,25483,6104,14969
1086750	22400,1084,7868,18977,28791
9039750	7105,25092,4709,22887,16540,2257,3627,1293,11983,2513,24978,14580,15639,9563,11196,3228,13087
5170500	21672,18730,12557,6096,27092,10232,7868,11679
691500	22664,26288
11496750	20565
5256500	614
10774750	1577,2899,14942
11613500	7868
10696000	3458,16276,21110
3581250	12512,12865,16540,15383
1911500	8868,8689,3228,3627,16110,1073,21815,1047,25500
7687500	18592,290,14603,16453,682,619,14498,23662,28625,20803,8628,12394,12182,5369,7868,13853
1793250	2033,14020,27625
1906000	2683,12220,21110
8156500	1831,4078,6447
4625750	9838,22321,14482,1428,15446,17882,16540
5959000	10560,13688,251,23793
9244000	7868,9486
1617250	2217,18002
5254500	21672,25488,20827,7868,9317
6897000	18544
38250	14265,20626,10051,11447
7568750	4329,4691,6827,12285
4257000	27625
7163250	17060,12943
7269750	19475,20270
4304250	679
4922750	18465,7340,25733,18013,2669
3952000	5474,25669,16550,4648,25372,12220,13998,2128,21844,3196
12008000	24274,25618,17647
8666500	15672,11790
8314250	11196,4834,16540,27618,25212
8745250	679
8111500	11080,454
1181250	6672,21110
2788750	6918,11176,26608,24274,29084,11679
7450000	2729,14261
5239500	14153,18353
9807250	7868
10628500	28641,12994,4078,14294,13784,11263
10944750	13450,25687
12015000	24977,26900
2852250	8090,11682,4647
2756000	10115,21092,13773
10539250	1461
5742000	19523,25261
